reservation_c,os_cat,dd,browser_cat,reservation_n,no_of_purchases_last_7_days,day,month,year,Boo,rand,NOP_before_purchase
Non-Purchase,Windows,D,Chrome,0,0,16-Mar-10,01-03-2004,01-03-1906,FALSE,78.07713983,5
Non-Purchase,Windows,D,MSIE,0,0,17-Mar-10,01-04-2004,01-04-1906,FALSE,721.6836672,5
Non-Purchase,Mac,D,Safari,0,0,18-Mar-10,01-05-2004,01-05-1906,FALSE,59.06518755,2
Non-Purchase,Windows,D,MSIE,0,0,19-Mar-10,01-06-2004,01-06-1906,FALSE,303.7122693,2
Non-Purchase,Windows,D,Chrome,0,0,20-Mar-10,01-07-2004,01-07-1906,FALSE,34.72962209,15
Non-Purchase,Windows,D,Chrome,0,0,21-Mar-10,01-08-2004,01-08-1906,FALSE,243.1931282,10
Non-Purchase,Windows,D,Chrome,0,0,22-Mar-10,01-09-2004,01-09-1906,FALSE,616.3529075,23
Non-Purchase,Windows,D,Chrome,0,0,23-Mar-10,01-10-2004,01-10-1906,FALSE,908.228544,3
Non-Purchase,Windows,D,MSIE,0,0,24-Mar-10,01-11-2004,01-11-1906,FALSE,80.86396011,3
Non-Purchase,Windows,D,Chrome,0,0,25-Mar-10,01-12-2004,01-12-1906,FALSE,935.5784015,29
Non-Purchase,Windows,D,MSIE,0,0,26-Mar-10,01-01-2005,01-01-1907,FALSE,425.1026744,2
Non-Purchase,Android,T,Chrome,0,0,27-Mar-10,01-02-2005,01-02-1907,FALSE,285.7106282,4
Non-Purchase,Windows,D,Chrome,0,0,28-Mar-10,01-03-2005,01-03-1907,FALSE,52.64882388,3
Non-Purchase,Mac,D,Safari,0,0,29-Mar-10,01-04-2005,01-04-1907,FALSE,873.4299095,3
Non-Purchase,Windows,D,MSIE,0,0,30-Mar-10,01-05-2005,01-05-1907,FALSE,873.0302733,3
Non-Purchase,Windows,D,MSIE,0,0,31-Mar-10,01-06-2005,01-06-1907,FALSE,175.6234176,2
Non-Purchase,Windows,D,Chrome,0,0,01-Apr-10,01-07-2005,01-07-1907,FALSE,853.1948235,2
Non-Purchase,Windows,D,Chrome,0,0,02-Apr-10,01-08-2005,01-08-1907,FALSE,166.5009758,3
Non-Purchase,Windows,D,Chrome,0,0,03-Apr-10,01-09-2005,01-09-1907,FALSE,974.9264325,4
Non-Purchase,Windows,D,MSIE,0,0,04-Apr-10,01-10-2005,01-10-1907,FALSE,848.8362407,14
Non-Purchase,Windows,D,MSIE,0,0,05-Apr-10,01-11-2005,01-11-1907,FALSE,24.10012034,7
Non-Purchase,Windows,D,MSIE,0,0,06-Apr-10,01-12-2005,01-12-1907,FALSE,292.8097331,5
Non-Purchase,Mac,D,Chrome,0,0,07-Apr-10,01-01-2006,01-01-1908,FALSE,672.7498886,11
Non-Purchase,Windows,D,MSIE,0,0,08-Apr-10,01-02-2006,01-02-1908,FALSE,108.9832098,3
Non-Purchase,Windows,D,Chrome,0,0,09-Apr-10,01-03-2006,01-03-1908,FALSE,128.8330342,4
Non-Purchase,Mac,D,Safari,0,0,10-Apr-10,01-04-2006,01-04-1908,FALSE,726.4852703,6
Non-Purchase,Mac,D,Chrome,0,0,11-Apr-10,01-05-2006,01-05-1908,FALSE,314.9857815,3
Non-Purchase,Windows,D,MSIE,0,0,12-Apr-10,01-06-2006,01-06-1908,FALSE,744.8585902,13
Non-Purchase,Mac,D,Safari,0,0,13-Apr-10,01-07-2006,01-07-1908,FALSE,660.8936279,4
Non-Purchase,Mac,D,Safari,0,0,14-Apr-10,01-08-2006,01-08-1908,FALSE,142.320833,5
Non-Purchase,Android,T,Others,0,0,15-Apr-10,01-09-2006,01-09-1908,FALSE,486.8530229,5
Non-Purchase,Windows,D,Chrome,0,0,16-Apr-10,01-10-2006,01-10-1908,FALSE,599.2280944,12
Non-Purchase,Mac,D,Safari,0,0,17-Apr-10,01-11-2006,01-11-1908,FALSE,193.8711151,4
Non-Purchase,Windows,D,Firefox,0,0,18-Apr-10,01-12-2006,01-12-1908,FALSE,556.908696,9
Non-Purchase,Mac,D,Safari,0,0,19-Apr-10,01-01-2007,01-01-1909,FALSE,608.1107696,5
Non-Purchase,Windows,D,Chrome,0,0,20-Apr-10,01-02-2007,01-02-1909,FALSE,74.08034559,13
Non-Purchase,iOS,T,Safari,0,0,21-Apr-10,01-03-2007,01-03-1909,FALSE,762.1051969,6
Non-Purchase,Windows,D,MSIE,0,0,22-Apr-10,01-04-2007,01-04-1909,FALSE,897.7204115,5
Non-Purchase,Android,T,Chrome,0,0,23-Apr-10,01-05-2007,01-05-1909,FALSE,260.5708353,7
Non-Purchase,Windows,D,Chrome,0,0,24-Apr-10,01-06-2007,01-06-1909,FALSE,289.024078,2
Non-Purchase,Mac,D,Firefox,0,0,25-Apr-10,01-07-2007,01-07-1909,FALSE,110.1020987,7
Non-Purchase,Windows,D,Chrome,0,0,26-Apr-10,01-08-2007,01-08-1909,FALSE,628.8860724,39
Non-Purchase,Android,T,Chrome,0,0,27-Apr-10,01-09-2007,01-09-1909,FALSE,989.0220108,6
Non-Purchase,Windows,D,Chrome,0,0,28-Apr-10,01-10-2007,01-10-1909,FALSE,870.4139989,2
Non-Purchase,Windows,D,Chrome,0,0,29-Apr-10,01-11-2007,01-11-1909,FALSE,986.820242,30
Non-Purchase,Windows,D,MSIE,0,0,30-Apr-10,01-12-2007,01-12-1909,FALSE,383.9535021,3
Non-Purchase,Windows,D,Chrome,0,0,01-May-10,01-01-2008,01-01-1910,FALSE,758.3088539,2
Non-Purchase,Windows,D,Firefox,0,0,02-May-10,01-02-2008,01-02-1910,FALSE,422.9148318,6
Non-Purchase,Windows,D,Firefox,0,0,03-May-10,01-03-2008,01-03-1910,FALSE,624.3432587,14
Non-Purchase,Mac,D,Chrome,0,0,04-May-10,01-04-2008,01-04-1910,FALSE,932.6184569,8
Non-Purchase,Android,T,Chrome,0,0,05-May-10,01-05-2008,01-05-1910,FALSE,396.5791409,8
Non-Purchase,Windows,D,Chrome,0,0,06-May-10,01-06-2008,01-06-1910,FALSE,270.2912286,15
Non-Purchase,Mac,D,Safari,0,0,07-May-10,01-07-2008,01-07-1910,FALSE,751.6521771,3
Non-Purchase,Windows,D,Chrome,0,0,08-May-10,01-08-2008,01-08-1910,FALSE,533.3608836,3
Non-Purchase,Windows,D,MSIE,0,0,09-May-10,01-09-2008,01-09-1910,FALSE,583.2162855,14
Non-Purchase,Windows,D,Chrome,0,0,10-May-10,01-10-2008,01-10-1910,FALSE,161.8085527,6
Non-Purchase,Windows,D,Chrome,0,0,11-May-10,01-11-2008,01-11-1910,FALSE,966.1166225,11
Non-Purchase,iOS,T,Safari,0,0,12-May-10,01-12-2008,01-12-1910,FALSE,108.2160897,6
Non-Purchase,Mac,D,Firefox,0,0,13-May-10,01-01-2009,01-01-1911,FALSE,183.0090519,3
Non-Purchase,Windows,D,MSIE,0,0,14-May-10,01-02-2009,01-02-1911,FALSE,174.396683,4
Non-Purchase,Windows,D,MSIE,0,0,15-May-10,01-03-2009,01-03-1911,FALSE,895.0331186,7
Non-Purchase,Android,T,Chrome,0,0,16-May-10,01-04-2009,01-04-1911,FALSE,153.0617788,4
Non-Purchase,Windows,D,MSIE,0,0,17-May-10,01-05-2009,01-05-1911,FALSE,146.7889026,5
Non-Purchase,Windows,D,MSIE,0,0,18-May-10,01-06-2009,01-06-1911,FALSE,137.0996249,4
Non-Purchase,Windows,D,MSIE,0,0,19-May-10,01-07-2009,01-07-1911,FALSE,509.8905143,2
Non-Purchase,Windows,D,Chrome,0,0,20-May-10,01-08-2009,01-08-1911,FALSE,741.9799826,7
Non-Purchase,Android,T,Chrome,0,0,21-May-10,01-09-2009,01-09-1911,FALSE,676.8805178,2
Non-Purchase,Windows,D,Chrome,0,0,22-May-10,01-10-2009,01-10-1911,FALSE,898.5219596,2
Non-Purchase,iOS,T,Safari,0,0,23-May-10,01-11-2009,01-11-1911,FALSE,609.7116503,4
Non-Purchase,Android,T,Chrome,0,0,24-May-10,01-12-2009,01-12-1911,FALSE,191.2395335,17
Non-Purchase,Mac,D,Chrome,0,0,25-May-10,01-01-2010,01-01-1912,FALSE,568.7848467,16
Non-Purchase,Windows,D,Chrome,0,0,26-May-10,01-02-2010,01-02-1912,FALSE,609.4195211,2
Non-Purchase,Windows,D,MSIE,0,0,27-May-10,01-03-2010,01-03-1912,FALSE,667.0990046,6
Non-Purchase,Windows,D,MSIE,0,0,28-May-10,01-04-2010,01-04-1912,FALSE,708.3785311,16
Non-Purchase,Windows,D,Firefox,0,0,29-May-10,01-05-2010,01-05-1912,FALSE,126.5013223,16
Non-Purchase,Windows,D,Chrome,0,0,30-May-10,01-06-2010,01-06-1912,FALSE,7.084715751,16
Non-Purchase,Windows,D,MSIE,0,0,31-May-10,01-07-2010,01-07-1912,FALSE,690.7314837,8
Non-Purchase,Windows,D,Chrome,0,0,01-Jun-10,01-08-2010,01-08-1912,FALSE,38.95126815,10
Non-Purchase,Windows,D,Chrome,0,0,02-Jun-10,01-09-2010,01-09-1912,FALSE,593.9368031,2
Non-Purchase,Mac,D,Chrome,0,0,03-Jun-10,01-10-2010,01-10-1912,FALSE,885.3133219,2
Non-Purchase,Windows,D,Chrome,0,0,04-Jun-10,01-11-2010,01-11-1912,FALSE,693.9087623,8
Non-Purchase,Windows,D,Chrome,0,0,05-Jun-10,01-12-2010,01-12-1912,FALSE,50.85675241,14
Non-Purchase,Windows,D,Firefox,0,0,06-Jun-10,01-01-2011,01-01-1913,FALSE,717.6871042,8
Non-Purchase,Windows,D,MSIE,0,0,07-Jun-10,01-02-2011,01-02-1913,FALSE,327.2381034,6
Non-Purchase,Mac,D,Firefox,0,1,08-Jun-10,01-03-2011,01-03-1913,TRUE,12.09389716,19
Non-Purchase,Mac,D,Firefox,0,0,09-Jun-10,01-04-2011,01-04-1913,FALSE,213.0347191,5
Non-Purchase,Windows,D,MSIE,0,0,10-Jun-10,01-05-2011,01-05-1913,FALSE,859.7642153,35
Non-Purchase,Windows,D,MSIE,0,0,11-Jun-10,01-06-2011,01-06-1913,FALSE,504.9704903,17
Non-Purchase,Mac,D,Safari,0,0,12-Jun-10,01-07-2011,01-07-1913,FALSE,887.8455184,2
Non-Purchase,Windows,D,MSIE,0,0,13-Jun-10,01-08-2011,01-08-1913,FALSE,784.3011879,4
Non-Purchase,iOS,T,Safari,0,0,14-Jun-10,01-09-2011,01-09-1913,FALSE,927.9376687,8
Non-Purchase,Windows,D,Chrome,0,0,15-Jun-10,01-10-2011,01-10-1913,FALSE,135.8821089,4
Non-Purchase,Windows,D,MSIE,0,0,16-Jun-10,01-11-2011,01-11-1913,FALSE,766.3562698,4
Non-Purchase,Windows,D,MSIE,0,0,17-Jun-10,01-12-2011,01-12-1913,FALSE,413.7495472,4
Non-Purchase,Windows,D,Chrome,0,0,18-Jun-10,01-01-2012,01-01-1914,FALSE,794.6938204,8
Non-Purchase,Mac,D,Firefox,0,0,19-Jun-10,01-02-2012,01-02-1914,FALSE,983.5497296,7
Purchase,Mac,D,Firefox,1,0,20-Jun-10,01-03-2012,01-03-1914,FALSE,817.4564548,13
Non-Purchase,Mac,D,Firefox,0,1,21-Jun-10,01-04-2012,01-04-1914,TRUE,868.7985809,10
Non-Purchase,Mac,D,Chrome,0,0,22-Jun-10,01-05-2012,01-05-1914,FALSE,167.61059,15
Non-Purchase,Windows,D,Chrome,0,0,23-Jun-10,01-06-2012,01-06-1914,FALSE,624.2665285,4
Non-Purchase,Windows,D,Chrome,0,0,24-Jun-10,01-07-2012,01-07-1914,FALSE,929.0547082,16
Non-Purchase,Windows,D,MSIE,0,0,25-Jun-10,01-08-2012,01-08-1914,FALSE,353.1315218,5
Non-Purchase,iOS,T,Safari,0,1,26-Jun-10,01-09-2012,01-09-1914,TRUE,133.6100319,8
Non-Purchase,iOS,T,Safari,0,0,27-Jun-10,01-10-2012,01-10-1914,FALSE,685.9874473,10
Non-Purchase,Windows,D,MSIE,0,0,28-Jun-10,01-11-2012,01-11-1914,FALSE,533.2684285,5
Non-Purchase,Windows,D,Chrome,0,0,29-Jun-10,01-12-2012,01-12-1914,FALSE,995.6942981,9
Non-Purchase,Windows,D,Chrome,0,0,30-Jun-10,01-01-2013,01-01-1915,FALSE,857.8203144,4
Non-Purchase,Windows,D,MSIE,0,0,01-Jul-10,01-02-2013,01-02-1915,FALSE,453.7942127,13
Non-Purchase,Android,T,Chrome,0,0,02-Jul-10,01-03-2013,01-03-1915,FALSE,315.7582203,2
Non-Purchase,iOS,T,Safari,0,0,03-Jul-10,01-04-2013,01-04-1915,FALSE,987.8493322,5
Non-Purchase,Windows,D,MSIE,0,0,04-Jul-10,01-05-2013,01-05-1915,FALSE,565.9096052,2
Non-Purchase,Android,T,Others,0,0,05-Jul-10,01-06-2013,01-06-1915,FALSE,651.7477391,11
Non-Purchase,iOS,T,Safari,0,0,06-Jul-10,01-07-2013,01-07-1915,FALSE,858.8313316,54
Non-Purchase,iOS,T,Safari,0,0,07-Jul-10,01-08-2013,01-08-1915,FALSE,808.5542459,4
Non-Purchase,Windows,D,MSIE,0,0,08-Jul-10,01-09-2013,01-09-1915,FALSE,725.5012726,12
Purchase,Mac,D,Safari,1,0,09-Jul-10,01-10-2013,01-10-1915,FALSE,313.7221423,5
Non-Purchase,Windows,D,Chrome,0,0,10-Jul-10,01-11-2013,01-11-1915,FALSE,998.9287256,3
Non-Purchase,Windows,D,Chrome,0,0,11-Jul-10,01-12-2013,01-12-1915,FALSE,837.4214541,4
Non-Purchase,Windows,D,Chrome,0,0,12-Jul-10,01-01-2014,01-01-1916,FALSE,386.4427028,2
Non-Purchase,Windows,D,MSIE,0,0,13-Jul-10,01-02-2014,01-02-1916,FALSE,738.6954826,5
Non-Purchase,Android,T,Chrome,0,0,14-Jul-10,01-03-2014,01-03-1916,FALSE,382.6950966,4
Non-Purchase,Windows,D,MSIE,0,0,15-Jul-10,01-04-2014,01-04-1916,FALSE,956.0332866,11
Non-Purchase,Windows,D,MSIE,0,0,16-Jul-10,01-05-2014,01-05-1916,FALSE,524.5531516,16
Non-Purchase,Mac,D,Safari,0,0,17-Jul-10,01-06-2014,01-06-1916,FALSE,355.7682771,23
Non-Purchase,Windows,D,Chrome,0,0,18-Jul-10,01-07-2014,01-07-1916,FALSE,867.0929681,7
Non-Purchase,Windows,D,MSIE,0,0,19-Jul-10,01-08-2014,01-08-1916,FALSE,489.8409056,3
Non-Purchase,Windows,D,MSIE,0,0,20-Jul-10,01-09-2014,01-09-1916,FALSE,553.2472755,10
Non-Purchase,Windows,D,MSIE,0,0,21-Jul-10,01-10-2014,01-10-1916,FALSE,483.9417657,4
Non-Purchase,Windows,D,MSIE,0,0,22-Jul-10,01-11-2014,01-11-1916,FALSE,638.9302214,9
Non-Purchase,Windows,D,MSIE,0,0,23-Jul-10,01-12-2014,01-12-1916,FALSE,850.4248244,5
Non-Purchase,Windows,D,MSIE,0,0,24-Jul-10,01-01-2015,01-01-1917,FALSE,23.58175667,2
Non-Purchase,Android,T,Chrome,0,0,25-Jul-10,01-02-2015,01-02-1917,FALSE,901.6996927,4
Non-Purchase,Windows,D,Chrome,0,0,26-Jul-10,01-03-2015,01-03-1917,FALSE,693.3226896,2
Non-Purchase,Windows,D,Chrome,0,0,27-Jul-10,01-04-2015,01-04-1917,FALSE,733.3059523,7
Non-Purchase,Windows,D,Chrome,0,0,28-Jul-10,01-05-2015,01-05-1917,FALSE,417.5950039,15
Non-Purchase,Windows,D,Chrome,0,0,29-Jul-10,01-06-2015,01-06-1917,FALSE,723.5913372,8
Non-Purchase,Windows,D,Firefox,0,0,30-Jul-10,01-07-2015,01-07-1917,FALSE,629.9974595,4
Non-Purchase,Windows,D,MSIE,0,0,31-Jul-10,01-08-2015,01-08-1917,FALSE,791.0512579,4
Non-Purchase,Windows,D,Chrome,0,0,01-Aug-10,01-09-2015,01-09-1917,FALSE,779.1369706,2
Purchase,Windows,D,Chrome,1,0,02-Aug-10,01-10-2015,01-10-1917,FALSE,8.184783159,6
Non-Purchase,Windows,D,Chrome,0,0,03-Aug-10,01-11-2015,01-11-1917,FALSE,446.4824841,2
Non-Purchase,Windows,D,MSIE,0,0,04-Aug-10,01-12-2015,01-12-1917,FALSE,999.3746093,2
Non-Purchase,Windows,D,Chrome,0,0,05-Aug-10,01-01-2016,01-01-1918,FALSE,616.4508671,6
Non-Purchase,Android,T,Chrome,0,0,06-Aug-10,01-02-2016,01-02-1918,FALSE,650.583139,2
Non-Purchase,Windows,D,MSIE,0,0,07-Aug-10,01-03-2016,01-03-1918,FALSE,381.9274847,3
Non-Purchase,Windows,D,Chrome,0,0,08-Aug-10,01-04-2016,01-04-1918,FALSE,615.1344547,3
Non-Purchase,Windows,D,MSIE,0,0,09-Aug-10,01-05-2016,01-05-1918,FALSE,647.2249515,6
Non-Purchase,Windows,D,MSIE,0,0,10-Aug-10,01-06-2016,01-06-1918,FALSE,852.258596,4
Non-Purchase,Windows,D,Firefox,0,0,11-Aug-10,01-07-2016,01-07-1918,FALSE,652.6254633,7
Non-Purchase,Windows,D,Chrome,0,0,12-Aug-10,01-08-2016,01-08-1918,FALSE,74.86790271,9
Non-Purchase,Mac,D,Safari,0,0,13-Aug-10,01-09-2016,01-09-1918,FALSE,416.9066856,2
Purchase,iOS,T,Safari,1,1,14-Aug-10,01-10-2016,01-10-1918,TRUE,418.1329292,15
Non-Purchase,Windows,D,Chrome,0,0,15-Aug-10,01-11-2016,01-11-1918,FALSE,510.0097031,20
Non-Purchase,Windows,D,Chrome,0,0,16-Aug-10,01-12-2016,01-12-1918,FALSE,642.6553959,9
Purchase,Windows,D,Chrome,1,1,17-Aug-10,01-01-2017,01-01-1919,TRUE,307.8128288,13
Non-Purchase,Windows,D,Chrome,0,0,18-Aug-10,01-02-2017,01-02-1919,FALSE,311.6301584,7
Non-Purchase,Mac,D,Safari,0,0,19-Aug-10,01-03-2017,01-03-1919,FALSE,45.23158171,9
Non-Purchase,Mac,D,Safari,0,0,20-Aug-10,01-04-2017,01-04-1919,FALSE,19.46527274,46
Non-Purchase,Windows,D,Chrome,0,0,21-Aug-10,01-05-2017,01-05-1919,FALSE,751.1827492,46
Non-Purchase,Windows,D,Firefox,0,0,22-Aug-10,01-06-2017,01-06-1919,FALSE,936.8202302,4
Non-Purchase,Windows,D,MSIE,0,0,23-Aug-10,01-07-2017,01-07-1919,FALSE,897.8854792,3
Non-Purchase,Windows,D,MSIE,0,0,24-Aug-10,01-08-2017,01-08-1919,FALSE,83.14083473,3
Non-Purchase,Android,T,Chrome,0,0,25-Aug-10,01-09-2017,01-09-1919,FALSE,688.0879118,6
Non-Purchase,iOS,T,Others,0,0,26-Aug-10,01-10-2017,01-10-1919,FALSE,180.1948988,4
Non-Purchase,iOS,T,Safari,0,0,27-Aug-10,01-11-2017,01-11-1919,FALSE,947.4993976,7
Non-Purchase,Mac,D,Safari,0,0,28-Aug-10,01-12-2017,01-12-1919,FALSE,625.0109054,8
Non-Purchase,Mac,D,Safari,0,0,29-Aug-10,01-01-2018,01-01-1920,FALSE,517.4480074,8
Non-Purchase,Windows,D,MSIE,0,0,30-Aug-10,01-02-2018,01-02-1920,FALSE,922.9397711,3
